previous,dairy,drinks,fruit,spices,checkout
dairy,0.2016770586970544,0.15760051601806063,0.22274779617286605,0.15588045581595356,0.2620941732960654
drinks,0.18590897402931345,0.1607096940087426,0.2069940858832605,0.15350989971715093,0.2928773463615325
fruit,0.2061936495491964,0.1546452371618973,0.22834182673461387,0.15719325754606037,0.25362602900823206
spices,0.18748328430061514,0.154854239101364,0.22064723188018187,0.15110992243915486,0.28590532227868415
checkout,0.16666666666666666,0.15682308522114347,0.17138619201726,0.14158576051779936,0.3635382955771305
